location,location2,Reference,SpeciesA_db,SpeciesA_query,SpeciesA_Family,SpeciesA_Class,SpeciesA_Order,SpeciesA_Kingdom,SpeciesB_db,SpeciesB_query,SpeciesB_Family,SpeciesB_Class,SpeciesB_Order,SpeciesB_Kingdom,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Hypsipetes propinquus,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Elaeagnus conferta,Elaeagnaceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Hypsipetes propinquus,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Ficus altissima ,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Hypsipetes propinquus,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Ficus subcordata,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Hypsipetes propinquus,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Glochidion sphaerogynum,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Hypsipetes propinquus,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Gnetum montanum,Gnetaceae,NA,Gnetales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Hypsipetes propinquus,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Sloanea sigun,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Ficus altissima ,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Ficus benjamina,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Glochidion sphaerogynum,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Irena puella,Irenidae,Aves,Passeriformes,Metazoa,ncbi,Michelia baillonii,Magnoliaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Macaca nemestrina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Elaeagnus conferta,Elaeagnaceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Macaca nemestrina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ficus benjamina,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Macaca nemestrina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ficus subcordata,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Macaca nemestrina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Gnetum montanum,Gnetaceae,NA,Gnetales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Macaca nemestrina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Nephelium melliferum,Sapindaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima australis,NA,NA,NA,NA,ncbi,Elaeagnus conferta,Elaeagnaceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima australis,NA,NA,NA,NA,ncbi,Ficus altissima ,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima faiostrica,NA,NA,NA,NA,ncbi,Aglaia spectabilis,Meliaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima faiostrica,NA,NA,NA,NA,ncbi,Cinnamomum subavenium,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima incognita,Megalaimidae,Aves,Piciformes,Metazoa,ncbi,Aglaia lawii,Meliaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima incognita,Megalaimidae,Aves,Piciformes,Metazoa,ncbi,Ficus altissima ,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima incognita,Megalaimidae,Aves,Piciformes,Metazoa,ncbi,Ficus subcordata,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima incognita,Megalaimidae,Aves,Piciformes,Metazoa,ncbi,Glochidion sphaerogynum,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima incognita,Megalaimidae,Aves,Piciformes,Metazoa,ncbi,Michelia baillonii,Magnoliaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima lineata,Megalaimidae,Aves,Piciformes,Metazoa,ncbi,Ficus altissima ,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima lineata,Megalaimidae,Aves,Piciformes,Metazoa,ncbi,Ficus benjamina,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima lineata,Megalaimidae,Aves,Piciformes,Metazoa,ncbi,Ficus subcordata,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Megalaima lineata,Megalaimidae,Aves,Piciformes,Metazoa,ncbi,Sloanea sigun,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Oriolus chinensis,Corvidae,Aves,Passeriformes,Metazoa,ncbi,Ficus altissima ,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Oriolus chinensis,Corvidae,Aves,Passeriformes,Metazoa,ncbi,Ficus benjamina,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Pycnonotus finlaysonii,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Elaeagnus conferta,Elaeagnaceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Pycnonotus finlaysonii,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Macaranga tanarius,Euphorbiaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Pycnonotus finlaysonii,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Michelia baillonii,Magnoliaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Pycnonotus melanicterus,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Glochidion sphaerogynum,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Pycnonotus melanicterus,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Macaranga tanarius,Euphorbiaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Pycnonotus melanicterus,Pycnonotidae,Aves,Passeriformes,Metazoa,ncbi,Michelia baillonii,Magnoliaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Ratufa bicolor,Sciuridae,Mammalia,Rodentia,Metazoa,ncbi,Aglaia spectabilis,Meliaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Ratufa bicolor,Sciuridae,Mammalia,Rodentia,Metazoa,ncbi,Cinnamomum subavenium,Lauraceae,NA,Laurales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Ratufa bicolor,Sciuridae,Mammalia,Rodentia,Metazoa,ncbi,Elaeagnus conferta,Elaeagnaceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Ratufa bicolor,Sciuridae,Mammalia,Rodentia,Metazoa,ncbi,Ficus altissima ,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Ratufa bicolor,Sciuridae,Mammalia,Rodentia,Metazoa,ncbi,Ficus benjamina,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Ratufa bicolor,Sciuridae,Mammalia,Rodentia,Metazoa,ncbi,Ficus subcordata,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Ratufa bicolor,Sciuridae,Mammalia,Rodentia,Metazoa,ncbi,Gnetum montanum,Gnetaceae,NA,Gnetales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Ratufa bicolor,Sciuridae,Mammalia,Rodentia,Metazoa,ncbi,Nephelium melliferum,Sapindaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Ratufa bicolor,Sciuridae,Mammalia,Rodentia,Metazoa,ncbi,Platymitra macrocarpa,Annonaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Sloanea sigun,NA,NA,NA,NA,ncbi,Megalaima incognita,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Tamiops mcclellandi,NA,NA,NA,NA,ncbi,Macaranga tanarius,Euphorbiaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Treron curvirostra,Columbidae,Aves,Columbiformes,Metazoa,ncbi,Ficus altissima ,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Treron curvirostra,Columbidae,Aves,Columbiformes,Metazoa,ncbi,Ficus benjamina,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Treron curvirostra,Columbidae,Aves,Columbiformes,Metazoa,ncbi,Ficus subcordata,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Zosterops palpebrosus,Zosteropidae,Aves,Passeriformes,Metazoa,ncbi,Glochidion sphaerogynum,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). ",ncbi,Zosterops palpebrosus,Zosteropidae,Aves,Passeriformes,Metazoa,ncbi,Michelia baillonii,Magnoliaceae,NA,Magnoliales,Viridiplantae,,,,,,
Budo Su-Ngai Padi National Park and Hala-Bala Wildlife,Thailand,"Kitamura, S., Thong-Aree, S., Madsri, S., & Poonswad, P. (2011). Characteristics of hornbill-dispersed fruits in lowland dipterocarp forests of southern Thailand. The Raffles Bulletin of Zoology, 24, 137-147.",ncbi,Aceros corrugatus,Bucerotidae,Aves,Bucerotiformes,Metazoa,ncbi,Oncosperma horridum,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Kitamura, S., Yumoto, T., Noma, N., Chuailua, P., Maruhashi, T., Wohandee, P., & Poonswad, P. (2008). Aggregated seed dispersal by wreathed hornbills at a roost site in a moist evergreen forest of Thailand. Ecological research, 23(6), 943-952.",ncbi,Aceros undulatus,Bucerotidae,Aves,Bucerotiformes,Metazoa,ncbi,Livistona speciosa,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Tiputini,Ecuador,"Holbrook, K. M., & Loiselle, B. A. (2009). Dispersal in a Neotropical tree, Virola flexuosa (Myristicaceae): does hunting of large vertebrates limit seed removal?. Ecology, 90(6), 1449-1455.",ncbi,Pteropus pluricinctus,Pteropodidae,Mammalia,Chiroptera,Metazoa,ncbi,Iriartea deltoidea,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
Tiputini,Ecuador,"Holbrook, K. M., & Loiselle, B. A. (2009). Dispersal in a Neotropical tree, Virola flexuosa (Myristicaceae): does hunting of large vertebrates limit seed removal?. Ecology, 90(6), 1449-1455.",ncbi,Ramphastos tucanus,Ramphastidae,Aves,Piciformes,Metazoa,ncbi,Iriartea deltoidea,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
"Atherton Tablelands, Queensland",,"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-626",ncbi,Syconycteris australis,Pteropodidae,Mammalia,Chiroptera,Metazoa,ncbi,Freycinetia,Pandanaceae,Liliopsida,Pandanales,Viridiplantae,,,,,,
"Atherton Tablelands, Queensland",,"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-627",ncbi,Syconycteris australis,Pteropodidae,Mammalia,Chiroptera,Metazoa,ncbi,Calamus moti,Arecaceae,Liliopsida,Arecales,Viridiplantae,,,,,,
"Atherton Tablelands, Queensland",,"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-628",ncbi,Syconycteris australis,Pteropodidae,Mammalia,Chiroptera,Metazoa,ncbi,Syzygium australe,Myrtaceae,NA,Myrtales,Viridiplantae,,,,,,
"Atherton Tablelands, Queensland",,"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-629",ncbi,Syconycteris australis,Pteropodidae,Mammalia,Chiroptera,Metazoa,ncbi,Grevillea robusta,Proteaceae,NA,Proteales,Viridiplantae,,,,,,
"Atherton Tablelands, Queensland",,"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-630",ncbi,Syconycteris australis,Pteropodidae,Mammalia,Chiroptera,Metazoa,ncbi,Schefflera actinophylla,Araliaceae,NA,Apiales,Viridiplantae,,,,,,
"Atherton Tablelands, Queensland",,"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-631",ncbi,Syconycteris australis,Pteropodidae,Mammalia,Chiroptera,Metazoa,ncbi,Cardwellia sublimis,Proteaceae,NA,Proteales,Viridiplantae,,,,,,
"Atherton Tablelands, Queensland",,"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-632",ncbi,Syconycteris australis,Pteropodidae,Mammalia,Chiroptera,Metazoa,ncbi,Castanospermum australe,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Atherton Tablelands, Queensland",,"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-633",ncbi,Syconycteris australis,Pteropodidae,Mammalia,Chiroptera,Metazoa,ncbi,Banksia,Proteaceae,NA,Proteales,Viridiplantae,,,,,,
