location,location2,Reference,SpeciesA_db,SpeciesA_query,SpeciesA_Family,SpeciesA_Class,SpeciesA_Order,SpeciesA_Kingdom,SpeciesB_db,SpeciesB_query,SpeciesB_Family,SpeciesB_Class,SpeciesB_Order,SpeciesB_Kingdom,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Mangifera indica,Anacardiaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Artocarpus lakoocha,Moraceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Polyalthia evecta,Annonaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Psychotria ophioxyloides,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Garcinia benthamii,Clusiaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Gironniera nervosa,Cannabaceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Glochidion rubrum,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Gnetum macrostachyum ,Gnetaceae,NA,Gnetales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Helicia excelsaa,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Michelia bailonii ,Magnoliaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Miliusa lineata,Annonaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Mimosa pudicaa,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Mucuna macrocarpa,Fabaceae,NA,Fabales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Syzygium cinereum ,Myrtaceae,NA,Myrtales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Syzygium cumini ,Myrtaceae,NA,Myrtales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Syzygium jambos,Myrtaceae,NA,Myrtales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Syzygium megacarpum ,Myrtaceae,NA,Myrtales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Syzygium siamensis,Myrtaceae,NA,Myrtales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Wrightia tomentosaa,NA,NA,NA,NA,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Ziziphus attopensis,Rhamnaceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Muntiacus muntjak,Cervidae,Mammalia,NA,Metazoa,ncbi,Choerospondias axillaris,Anacardiaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Rhinoceros unicornis,Rhinocerotidae,Mammalia,Perissodactyla,Metazoa,ncbi,Trewia nudiflora,Euphorbiaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Platymitra macrocarpa,Annonaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Nephelium melliferum,Sapindaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Baccaurea ramiflora,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Lansium domesticum ,Meliaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca leonina,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Prunus javanica,Rosaceae,NA,Rosales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Hylobates lar,Hylobatidae,Mammalia,Primates,Metazoa,ncbi,Platymitra macrocarpa,Annonaceae,NA,Magnoliales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Hylobates lar,Hylobatidae,Mammalia,Primates,Metazoa,ncbi,Nephelium melliferum,Sapindaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Hylobates lar,Hylobatidae,Mammalia,Primates,Metazoa,ncbi,Baccaurea ramiflora,Phyllanthaceae,NA,Malpighiales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Hylobates lar,Hylobatidae,Mammalia,Primates,Metazoa,ncbi,Lansium domesticum ,Meliaceae,NA,Sapindales,Viridiplantae,,,,,,
"Khao Yai National Park, Thailand",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Hylobates lar,Hylobatidae,Mammalia,Primates,Metazoa,ncbi,Prunus javanica,Rosaceae,NA,Rosales,Viridiplantae,,,,,,
"Yakushima island, Japan",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca fuscata,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Myrica rubra,Myricaceae,NA,Fagales,Viridiplantae,,,,,,
"Yakushima island, Japan",,"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193",ncbi,Macaca fuscata,Cercopithecidae,Mammalia,Primates,Metazoa,ncbi,Eurya marginata,NA,NA,NA,NA,,,,,,
