sourceTaxonId	sourceTaxonName	interactionTypeId	InteractionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Eumyias thalassina	RO:0002470	eats		Glochidion sphaerogynum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Eumyias thalassina	RO:0002470	eats		Sloanea sigun		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Gracula religiosa	RO:0002470	eats		Cinnamomum subavenium		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Gracula religiosa	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Gracula religiosa	RO:0002470	eats		Ficus benjamina		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Gracula religiosa	RO:0002470	eats		Ficus subcordata		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Gracula religiosa	RO:0002470	eats		Gnetum montanum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Gracula religiosa	RO:0002470	eats		Michelia baillonii		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hylobates lar	RO:0002470	eats		Cinnamomum subavenium		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hylobates lar	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hylobates lar	RO:0002470	eats		Ficus benjamina		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hylobates lar	RO:0002470	eats		Gnetum montanum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hylobates lar	RO:0002470	eats		Nephelium melliferum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hylobates lar	RO:0002470	eats		Platymitra macrocarpa		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hylobates lar	RO:0002470	eats		Sloanea sigun		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hypsipetes flavala	RO:0002470	eats		Macaranga tanarius		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hypsipetes propinquus	RO:0002470	eats		Elaeagnus conferta		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hypsipetes propinquus	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hypsipetes propinquus	RO:0002470	eats		Ficus subcordata		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hypsipetes propinquus	RO:0002470	eats		Glochidion sphaerogynum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hypsipetes propinquus	RO:0002470	eats		Gnetum montanum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Hypsipetes propinquus	RO:0002470	eats		Sloanea sigun		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Irena puella	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Irena puella	RO:0002470	eats		Ficus benjamina		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Irena puella	RO:0002470	eats		Glochidion sphaerogynum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Irena puella	RO:0002470	eats		Michelia baillonii		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Macaca nemestrina	RO:0002470	eats		Elaeagnus conferta		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Macaca nemestrina	RO:0002470	eats		Ficus benjamina		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Macaca nemestrina	RO:0002470	eats		Ficus subcordata		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Macaca nemestrina	RO:0002470	eats		Gnetum montanum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Macaca nemestrina	RO:0002470	eats		Nephelium melliferum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima australis	RO:0002470	eats		Elaeagnus conferta		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima australis	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima faiostrica	RO:0002470	eats		Aglaia spectabilis		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima faiostrica	RO:0002470	eats		Cinnamomum subavenium		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima incognita	RO:0002470	eats		Aglaia lawii		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima incognita	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima incognita	RO:0002470	eats		Ficus subcordata		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima incognita	RO:0002470	eats		Glochidion sphaerogynum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima incognita	RO:0002470	eats		Michelia baillonii		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima lineata	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima lineata	RO:0002470	eats		Ficus benjamina		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima lineata	RO:0002470	eats		Ficus subcordata		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Megalaima lineata	RO:0002470	eats		Sloanea sigun		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Oriolus chinensis	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Oriolus chinensis	RO:0002470	eats		Ficus benjamina		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Pycnonotus finlaysonii	RO:0002470	eats		Elaeagnus conferta		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Pycnonotus finlaysonii	RO:0002470	eats		Macaranga tanarius		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Pycnonotus finlaysonii	RO:0002470	eats		Michelia baillonii		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Pycnonotus melanicterus	RO:0002470	eats		Glochidion sphaerogynum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Pycnonotus melanicterus	RO:0002470	eats		Macaranga tanarius		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Pycnonotus melanicterus	RO:0002470	eats		Michelia baillonii		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Ratufa bicolor	RO:0002470	eats		Aglaia spectabilis		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Ratufa bicolor	RO:0002470	eats		Cinnamomum subavenium		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Ratufa bicolor	RO:0002470	eats		Elaeagnus conferta		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Ratufa bicolor	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Ratufa bicolor	RO:0002470	eats		Ficus benjamina		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Ratufa bicolor	RO:0002470	eats		Ficus subcordata		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Ratufa bicolor	RO:0002470	eats		Gnetum montanum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Ratufa bicolor	RO:0002470	eats		Nephelium melliferum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Ratufa bicolor	RO:0002470	eats		Platymitra macrocarpa		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Sloanea sigun	RO:0002470	eats		Megalaima incognita		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Tamiops mcclellandi	RO:0002470	eats		Macaranga tanarius		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Treron curvirostra	RO:0002470	eats		Ficus altissima 		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Treron curvirostra	RO:0002470	eats		Ficus benjamina		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Treron curvirostra	RO:0002470	eats		Ficus subcordata		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Zosterops palpebrosus	RO:0002470	eats		Glochidion sphaerogynum		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Zosterops palpebrosus	RO:0002470	eats		Michelia baillonii		"Khao Yai National Park, Thailand"				10.3759/tropics.14.345	"Kitamura, S. Yumoto, T. Poonswad, P. Chuailua, P. Plongmai, K. Noma, N. Maruhashi, T. Wohandee, P. 2005. Fruit-frugivore interactions in a moist evergreen forest of Khao Yai National Park in Thailand. TROPICS. Vol 14 (4). "
	Aceros corrugatus	RO:0002470	eats		Oncosperma horridum		Budo Su-Ngai Padi National Park and Hala-Bala Wildlife					"Kitamura, S., Thong-Aree, S., Madsri, S., & Poonswad, P. (2011). Characteristics of hornbill-dispersed fruits in lowland dipterocarp forests of southern Thailand. The Raffles Bulletin of Zoology, 24, 137-147."
	Aceros undulatus	RO:0002470	eats		Livistona speciosa		"Khao Yai National Park, Thailand"				10.1007/s11284-008-0460-x	"Kitamura, S., Yumoto, T., Noma, N., Chuailua, P., Maruhashi, T., Wohandee, P., & Poonswad, P. (2008). Aggregated seed dispersal by wreathed hornbills at a roost site in a moist evergreen forest of Thailand. Ecological research, 23(6), 943-952."
	Pteropus pluricinctus	RO:0002470	eats		Iriartea deltoidea		Tiputini				10.1890/08-1332.1	"Holbrook, K. M., & Loiselle, B. A. (2009). Dispersal in a Neotropical tree, Virola flexuosa (Myristicaceae): does hunting of large vertebrates limit seed removal?. Ecology, 90(6), 1449-1455."
	Ramphastos tucanus	RO:0002470	eats		Iriartea deltoidea		Tiputini				10.1890/08-1332.1	"Holbrook, K. M., & Loiselle, B. A. (2009). Dispersal in a Neotropical tree, Virola flexuosa (Myristicaceae): does hunting of large vertebrates limit seed removal?. Ecology, 90(6), 1449-1455."
	Syconycteris australis	RO:0002470	eats		Freycinetia		"Atherton Tablelands, Queensland"				10.1071/WR00058	"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-626"
	Syconycteris australis	RO:0002470	eats		Calamus moti		"Atherton Tablelands, Queensland"				10.1071/WR00058	"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-626"
	Syconycteris australis	RO:0002470	eats		Syzygium australe		"Atherton Tablelands, Queensland"				10.1071/WR00058	"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-626"
	Syconycteris australis	RO:0002470	eats		Grevillea robusta		"Atherton Tablelands, Queensland"				10.1071/WR00058	"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-626"
	Syconycteris australis	RO:0002470	eats		Schefflera actinophylla		"Atherton Tablelands, Queensland"				10.1071/WR00058	"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-626"
	Syconycteris australis	RO:0002470	eats		Cardwellia sublimis		"Atherton Tablelands, Queensland"				10.1071/WR00058	"Law, B. 2001. The diet of the common blossom bat (Syconycteris australis) in upland tropical rainforest and the importance of riparian areas. Wildlife Research. 28, 619-626"
