sourceTaxonId	sourceTaxonName	interactionTypeId	InteractionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
	Macaca leonina	RO:0002470	eats		Glochidion rubrum		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Gnetum macrostachyum 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Helicia excelsaa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Michelia bailonii 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Miliusa lineata		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Mimosa pudicaa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Mucuna macrocarpa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Syzygium cinereum 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Syzygium cumini 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Syzygium jambos		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Syzygium megacarpum 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Syzygium siamensis		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Wrightia tomentosaa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Ziziphus attopensis		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Muntiacus muntjak	RO:0002470	eats		Choerospondias axillaris		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Rhinoceros unicornis	RO:0002470	eats		Trewia nudiflora		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Platymitra macrocarpa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Nephelium melliferum		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Baccaurea ramiflora		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Lansium domesticum 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca leonina	RO:0002470	eats		Prunus javanica		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Hylobates lar	RO:0002470	eats		Platymitra macrocarpa		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Hylobates lar	RO:0002470	eats		Nephelium melliferum		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Hylobates lar	RO:0002470	eats		Baccaurea ramiflora		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Hylobates lar	RO:0002470	eats		Lansium domesticum 		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Hylobates lar	RO:0002470	eats		Prunus javanica		"Khao Yai National Park, Thailand"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca fuscata	RO:0002470	eats		Myrica rubra		"Yakushima island, Japan"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Macaca fuscata	RO:0002470	eats		Eurya marginata		"Yakushima island, Japan"					"Albert A. Hambuckers A. Culot, L. Savini, T. Huynen, M.C. 2013. Frugivory and Seed Dispersal by Northen Pigtailed Macaques (Macaca leonina), in Thailand. Int. J. Primatology 34:170-193"
	Cyanopica cyana	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Garrulax canorus	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Garrulax perspicullatus	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Garrullax pectoralis	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Pashianus colchicus	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Phasianus colchicus	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Pica pica	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Pycnonotus sinensis	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Streptopelia orientalis	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Turdus hortulorum	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Turdus merula	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Turdus naumanni	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Urocissa erythrorhyncha 	RO:0002470	eats		Cinnamomum camphora		Nanjing. China					"Xin-Hua LI. 2004. Avian seed dispersal of the camphor tree (Cinnamomum camphora)  College of life sciences, Nanjing Agricultural University Nanjing. Workshops on Seed Dispersal and Frugivory on Asia. Abstracts"
	Macaca	RO:0002470	eats		Berchemia floribunda		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Burretiodendron hsienmu		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Canthium dicoccum		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Croton euryphyllus		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Ficus microcarpa		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Ficus nervosa		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Gulhala argyrata		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Indocalamus calcicolus		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Pionurus sylvestris		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Sapium rotundifolium		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Sinosideroxylon pedunculatum		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca	RO:0002470	eats		Ventilago calyculata		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca assamensis	RO:0002470	eats		"Ampelopsis brevipedunculata,"		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca assamensis	RO:0002470	eats		Ampelopsis cantoniensis		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca assamensis	RO:0002470	eats		Burretiodendron hsienmu		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca assamensis	RO:0002470	eats		Hainania trichosperma		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca assamensis	RO:0002470	eats		Symplocus decora		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca assamensis	RO:0002470	eats		Tetrastigma planicaule		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Macaca assamensis	RO:0002470	eats		Trema cannabina		Nonggang Nature Reserve					"Zhou, Q., Wei, H., Huang, Z., & Huang, C. (2011). Diet of the Assamese macaque Macaca assamensis in limestone habitats of Nonggang, China. Current Zoology, 57(1), 18-25."
	Nomascus gabriellae	RO:0002470	eats		Calamus flagellum		"Cat Tien National Park, Vietnam."				10.1002/ajp.22667	"Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22667"
	Nomascus gabriellae	RO:0002470	eats		Ficus kurzii		"Cat Tien National Park, Vietnam."				10.1002/ajp.22667	"Bach, T. Chen, J, Hoang, M, Beng, K, Nguyen, V. 2017. Feeding behavior and activity budget of the southern yellow-cheeked crested gibbons (Nomascus gabriellae) in a lowland tropical forest. American Journal of Primatology. 9999.e22667"
